xI_real,xI_imag,yout_real,yout_imag
0.299526913,-0.316207515,-0.012456644,0.558945654
0.276649118,-0.231644317,-0.048574031,0.512078904
0.259586653,-0.13302289,-0.110340408,0.436498024
0.248096131,-0.025724294,-0.236242631,0.40209056
0.241814796,0.0839245,-0.377803557,0.314695902
0.240291331,0.18918478,-0.505758419,0.202299837
0.243132264,0.28350718,-0.566690729,0.078008657
0.250038114,0.361134194,-0.618239411,-0.030957981
0.260806342,0.417580485,-0.639945075,-0.101067358
0.275281601,0.450067325,-0.663717477,-0.129569486
0.293202842,0.457650261,-0.665356806,-0.136382274
0.314353225,0.441253594,-0.640625592,-0.125996713
0.338400369,0.403590545,-0.643114901,-0.082393686
0.364798598,0.348753555,-0.624713545,-0.041408737
0.393008002,0.28175144,-0.590567926,0.023324512
0.422388424,0.208011601,-0.547592175,0.129398442
0.452307421,0.132862612,-0.516467242,0.233224463
0.482221816,0.06106579,-0.481627636,0.349234109
0.511582931,-0.003486363,-0.425890444,0.417079723
0.539920673,-0.058016999,-0.383554542,0.466370285
0.566722326,-0.100984573,-0.36443515,0.537474608
0.591351334,-0.131796901,-0.369890129,0.576359852
0.612883415,-0.150725967,-0.366410175,0.609221464
0.629936475,-0.158725497,-0.383764596,0.640072404
0.640771892,-0.15692894,-0.376571376,0.658142306
0.643162498,-0.146533034,-0.401825902,0.638835543
0.634550317,-0.128530833,-0.394363167,0.602658614
0.612353012,-0.103542228,-0.428632841,0.574714865
0.574088237,-0.071915447,-0.437794723,0.516803811
0.518032612,-0.03362919,-0.458065355,0.465382984
0.443560245,0.01137222,-0.438127002,0.388464124
0.351233472,0.063005731,-0.422228248,0.305359301
0.243508774,0.121077662,-0.399015823,0.204993342
0.124822276,0.18492697,-0.472243994,0.03831767
0.00121009,0.253376273,-0.459753494,-0.18029691
-0.119769432,0.324681533,-0.414771829,-0.393925604
-0.229678401,0.396586822,-0.319489291,-0.585911335
-0.320018604,0.466527852,-0.248421663,-0.691915571
-0.382917128,0.53163083,-0.231232577,-0.73937515
-0.412255058,0.589133758,-0.22192127,-0.821410334
-0.404404115,0.636526545,-0.234241184,-0.818994318
-0.358601418,0.671506825,-0.276398302,-0.815036658
-0.277604152,0.692379625,-0.349933646,-0.760774482
-0.16763141,0.6980514,-0.377276456,-0.690079577
-0.037719512,0.687978171,-0.468061874,-0.579244089
0.100864508,0.662197209,-0.558129058,-0.472304169
0.235764361,0.62124958,-0.634233004,-0.312647527
0.354855689,0.566185423,-0.682780751,-0.178673186
0.447385381,0.498406765,-0.688229381,-0.057338564
0.50532254,0.419819363,-0.68851405,0.063241396
0.524378979,0.332788468,-0.641427296,0.142993309
