xI_actual,xI_real,xI_imag
9.06E-05,-0.239379808,-0.215138429
9.06E-05,-0.294303226,-0.197498471
9.06E-05,-0.329361462,-0.174946153
9.06E-05,-0.344069473,-0.149539093
9.06E-05,-0.339965359,-0.123293186
9.06E-05,-0.320379926,-0.098027705
9.06E-05,-0.29002583,-0.075175988
9.06E-05,-0.254405828,-0.055683719
9.06E-05,-0.219220868,-0.039930786
9.06E-05,-0.189737885,-0.027723915
9.06E-05,-0.170173276,-0.018390417
9.06E-05,-0.163273288,-0.010837519
9.06E-05,-0.170019006,-0.003709462
9.06E-05,-0.189532679,0.004420958
9.06E-05,-0.219187421,0.014893731
9.06E-05,-0.254876076,0.028815019
9.06E-05,-0.291501773,0.046885523
9.06E-05,-0.323508568,0.069305224
9.06E-05,-0.345464982,0.095742034
9.06E-05,-0.352686185,0.125337935
9.06E-05,-0.341662093,0.156729117
9.06E-05,-0.310478786,0.188173844
9.06E-05,-0.258995839,0.217689292
9.06E-05,-0.188862932,0.243203216
9.06E-05,-0.103355554,0.262736387
9.06E-05,-0.007055759,0.27450868
9.06E-05,0.094601463,0.277171465
9.06E-05,0.195832132,0.26983874
9.06E-05,0.291038256,0.252192852
9.06E-05,0.375298741,0.224511775
9.06E-05,0.444763632,0.187647102
9.06E-05,0.496930544,0.142966939
9.06E-05,0.530752849,0.092290413
9.06E-05,0.546634046,0.037729572
9.06E-05,0.546206148,-0.018379611
9.06E-05,0.532094757,-0.073674023
9.06E-05,0.50748719,-0.125868836
9.06E-05,0.475814133,-0.172888585
9.06E-05,0.440271969,-0.212968919
9.06E-05,0.403586983,-0.244781863
9.06E-05,0.367744342,-0.267483663
9.06E-05,0.333891138,-0.280741043
9.06E-05,0.302340299,-0.2847561
9.06E-05,0.272697479,-0.28030698
9.06E-05,0.244083355,-0.268602412
9.06E-05,0.215404386,-0.251296568
9.06E-05,0.185623854,-0.230368254
9.06E-05,0.154084749,-0.207978706
9.06E-05,0.120658981,-0.186386542
9.06E-05,0.08590582,-0.16775936
9.06E-05,0.051071563,-0.154032003
9.06E-05,0.018029868,-0.146770062
9.06E-05,-0.010960557,-0.147049794
9.06E-05,-0.033494704,-0.155334813
9.06E-05,-0.047340424,-0.171454299
9.06E-05,-0.050753128,-0.194555186
9.06E-05,-0.042750439,-0.22317351
9.06E-05,-0.023347086,-0.255303916
9.06E-05,0.006369467,-0.288566417
9.06E-05,0.044250887,-0.320368948
9.06E-05,0.087206522,-0.34815452
9.06E-05,0.131469401,-0.369573802
9.06E-05,0.172933184,-0.382733709
9.06E-05,0.207530469,-0.386373805
9.06E-05,0.231651009,-0.379975422
9.06E-05,0.24249764,-0.363844376
9.06E-05,0.238407099,-0.339108477
9.06E-05,0.218998998,-0.307591588
9.06E-05,0.185278047,-0.271730151
9.06E-05,0.139556316,-0.234280611
9.06E-05,0.085207148,-0.198118338
9.06E-05,0.026420291,-0.165959393
9.06E-05,-0.032250143,-0.140065043
9.07E-05,-0.086262883,-0.122072002
9.07E-05,-0.131531825,-0.112815392
9.07E-05,-0.164764521,-0.112214068
9.07E-05,-0.183769711,-0.1193195
9.07E-05,-0.187566467,-0.1323989
9.07E-05,-0.176440921,-0.14906906
9.07E-05,-0.151838047,-0.166587447
9.07E-05,-0.116151914,-0.182090527
9.07E-05,-0.072404039,-0.192851253
9.07E-05,-0.023927626,-0.196616309
9.07E-05,0.025980839,-0.191759269
9.07E-05,0.074419298,-0.177453424
9.07E-05,0.119103037,-0.153766217
9.07E-05,0.158520206,-0.121590814
9.07E-05,0.19194228,-0.082574205
9.07E-05,0.219426176,-0.038967054
9.07E-05,0.241586327,0.006661887
9.07E-05,0.25938358,0.051621677
9.07E-05,0.273859545,0.093359936
9.07E-05,0.285846631,0.129705607
9.07E-05,0.29578337,0.159004474
9.07E-05,0.303523548,0.180222427
9.07E-05,0.308298771,0.193012533
9.07E-05,0.308759667,0.197609833
9.07E-05,0.303172158,0.194761507
9.07E-05,0.289611648,0.185542716
9.07E-05,0.266298668,0.171197167
9.07E-05,0.231899587,0.152973143
9.07E-05,0.185836726,0.13190723
9.07E-05,0.128517815,0.108757214
9.07E-05,0.061437543,0.083958503
9.07E-05,-0.012765121,0.057565033
9.07E-05,-0.090476667,0.029370831
9.07E-05,-0.167338462,-0.001010404
9.07E-05,-0.238638261,-0.033975459
9.07E-05,-0.299699426,-0.069799414
9.07E-05,-0.346356854,-0.108469075
9.07E-05,-0.375401928,-0.149561003
9.07E-05,-0.38493306,-0.192209258
9.07E-05,-0.374580207,-0.235056589
9.07E-05,-0.345634492,-0.276309528
9.07E-05,-0.300976379,-0.313888931
9.07E-05,-0.244835417,-0.34554562
